w,eyedist,nosedist,area,target
122,64.0,25.98076211353316,831.3843876330611,1
122,63.968742366877905,24.979991993593593,798.9693360824307,1
122,63.99218702310463,24.979991993593593,799.2621597448488,1
122,66.97014260101288,25.98076211353316,869.9676718131543,1
122,65.96969000988257,25.92296279363144,855.0649098167928,1
122,65.96969000988257,25.98076211353316,856.971411425142,1
122,64.99230723708769,24.979991993593593,811.7536572138126,1
122,62.0,22.978250586152114,712.3257681707155,1
122,56.78027826631356,22.9128784747792,650.4998078400945,1
122,59.79130371550699,22.978250586152114,686.9497798238239,1
122,58.787753826796276,23.916521486202797,702.999288762087,1
122,61.70899448216605,24.819347291981714,765.7884825459312,1
122,60.794736614282655,22.9128784747792,696.4912059746339,1
122,57.86190456595773,21.97726097583591,635.8230886024822,1
122,54.772255750516614,18.894443627691185,517.4456493198103,1
122,54.772255750516614,19.8997487421324,544.9770637375485,1
122,56.78027826631356,21.908902300206645,621.9967845576052,1
122,57.86190456595773,25.98076211353316,751.648188982053,1
122,57.86190456595773,21.97726097583591,635.8230886024822,1
122,57.86190456595773,23.979157616563597,693.7398647908307,1
122,58.86425061104575,22.9128784747792,674.3747103799192,1
122,59.6992462263972,21.79449471770337,650.5574532660432,1
122,62.71363488110062,24.919871588754223,781.4078640505226,1
122,58.86425061104575,26.92582403567252,792.4842269723732,1
122,59.79130371550699,25.826343140289914,772.0953632809874,1
122,58.787753826796276,22.80350850198276,670.2835221009092,1
122,58.69412236331676,21.908902300206645,642.9618962271404,1
122,58.787753826796276,21.908902300206645,643.9875775199395,1
122,58.787753826796276,21.908902300206645,643.9875775199395,1
122,59.6992462263972,21.908902300206645,653.9724764850582,1
122,59.6992462263972,21.908902300206645,653.9724764850582,1
122,59.79130371550699,22.80350850198276,681.7257513105985,1
122,61.7980582219215,23.811761799581316,735.7603210285262,1
122,63.71812928829596,23.811761799581316,758.6204584639146,1
122,61.7980582219215,23.916521486202797,738.9972936350985,1
